,Dist Name,prec_grow_av,prec_harvest_av,et_grow_av,et_harvest_av,maxT_grow_av,maxT_harvest_av,minT_grow_av,minT_harvest_av,windspeed_grow_av,windspeed_harvest_av,runoff_grow_av,runoff_harvest_av,KM5_clusterN_(maxT_growth_maxT_harvest)
3247,Jaipur,108.95375,2.3762500000000006,90.23850000000002,13.748750000000001,34.1485,26.72625,24.07425,10.55875,1.74615,0.847,10.774,0.11812500000000001,1
3255,Jhalawar,176.58008,4.845199999999998,101.02928,16.717,33.37975999999999,29.387800000000002,24.098959999999998,12.626400000000004,1.8081680000000002,0.9094200000000001,68.11368,0.23919999999999994,1
3280,Jhunjhunu,104.26399999999998,6.2700000000000005,88.58399999999999,12.185,34.938,26.16,24.356,8.92,1.3586,0.7085,9.662,0.315,1
3281,Jodhpur,34.864,0.165,33.196,0.21,36.290000000000006,29.85,25.482,12.305,2.4068,0.849,1.7419999999999998,0.005,1
3282,Kota,154.40892307692303,3.201923076923076,99.4836923076923,16.61,34.2123076923077,28.725384615384616,25.02515384615385,12.309423076923078,1.7623384615384614,0.8087500000000001,46.578538461538464,0.15749999999999995,1
3308,Pali,89.3956,1.812,78.7592,6.5745000000000005,34.413599999999995,28.938499999999998,25.1162,12.652000000000001,2.1513800000000005,1.0284999999999997,7.401799999999999,0.0885,1
3318,Swami Madhopur,141.2516923076923,3.4953846153846158,98.13892307692309,12.935384615384615,34.81146153846154,27.772500000000004,25.050230769230765,10.94846153846154,1.7262538461538466,0.7875576923076925,36.99553846153846,0.17134615384615384,1
3344,Sirohi,135.1001333333333,1.8313333333333337,95.15640000000002,15.971666666666668,33.39586666666667,29.43333333333333,24.482133333333334,13.476,2.2794133333333333,1.0414666666666665,30.9568,0.087,1
3359,Tonk,102.3114,1.495,80.8052,6.447,35.22420000000001,28.6005,25.380000000000003,11.854499999999998,1.71886,0.7791500000000001,18.039,0.07100000000000001,1
3369,Udaipur,136.05407692307693,2.252307692307692,94.69400000000002,24.240384615384617,32.02838461538462,29.325576923076923,23.439153846153847,12.665384615384614,2.0426,0.9802884615384614,27.58292307692308,0.10980769230769227,1
3395,Gurdaspur,216.7513076923077,21.41903846153846,107.68307692307695,29.386923076923075,33.171692307692304,22.881730769230778,23.421461538461543,9.173076923076922,1.1507307692307693,0.6576923076923078,97.90315384615386,2.184038461538462,0
3421,Amritsar,103.18576923076924,8.072307692307692,87.60153846153845,13.577307692307691,34.507461538461534,24.09346153846154,24.03092307692307,8.54673076923077,1.1500615384615385,0.6014230769230768,11.578230769230768,0.3992307692307693,1
3447,Kapurthala,116.7052307692308,7.9434615384615395,92.78646153846155,16.763076923076923,34.46515384615385,24.467500000000005,23.988999999999997,8.643269230769233,1.169576923076923,0.5629807692307692,17.597153846153848,0.3980769230769231,1
3473,Jalandhar,112.43253846153848,7.979230769230769,91.74846153846153,16.454615384615387,34.48507692307693,24.609615384615385,24.007538461538466,8.59596153846154,1.2017538461538462,0.5518653846153846,14.445769230769232,0.39961538461538465,1
3499,Hoshiarpur,159.56061538461537,12.564423076923077,103.98823076923075,25.86769230769231,33.439846153846155,23.723461538461546,23.62530769230769,8.999038461538463,1.2218846153846157,0.5725192307692308,42.83107692307692,0.6261538461538461,1
3525,Roopnagar,161.83569230769228,10.972115384615389,104.023,27.623269230769235,33.34484615384615,23.958269230769233,23.663076923076922,9.077307692307691,1.211023076923077,0.5426538461538462,42.07523076923077,0.5465384615384616,1
3551,Ludhiana,113.23530769230769,7.3292307692307705,92.53100000000002,15.376923076923077,34.35230769230769,24.962115384615387,23.82515384615385,8.56269230769231,1.1806615384615387,0.5146153846153845,15.001230769230771,0.3659615384615384,1
3577,Ferozpur,88.49161538461539,6.316923076923079,78.82984615384618,9.201153846153847,35.29784615384615,24.66480769230769,24.419461538461537,8.768846153846154,1.1585846153846153,0.5515576923076924,7.52553846153846,0.3119230769230769,1
3603,Faridkot,77.67530769230768,5.353653846153847,70.74084615384615,7.2103846153846165,35.52884615384615,25.200576923076923,24.41446153846154,8.719423076923078,1.2486923076923078,0.5620192307692309,5.458615384615384,0.2655769230769231,1
